"filename", "language", "JavaScript", "HTML", "JSON", "JavaScript JSX", "CSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\AdmissionProcedure\AdmissionProcedure.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\DoctoralProgrammes\DoctoralProgrammes.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\EducationLoan\EducationLoan.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\ExaminationSystem\ExaminationSystem.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\HostelLife\HostelLife.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\PgPrograms\PgPrograms.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\Scholarships\Scholarships.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\Transportation\Transportation.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Admission\UgPrograms\UgPrograms.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\Campus.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 7, 38
"c:\Users\Admin\Desktop\KPGU Website\src\components\Pages\Campus\pages\CampusGallery.jsx", "JavaScript JSX", 0, 0, 0, 216, 0, 0, 0, 0, 22, 238
